Complexity,Price,Dev_Time,Quality,Usability,Mktg_Spend,Sentiment,p_accept,Success,Rating,Revenue
Medium,1230.1597,4.0,0.9245,0.5572,210.0541,0.2447,0.938,1,4.5427,482351.5481
Low,1684.6337,8.0,0.9233,0.8422,137.0697,0.1659,0.7737,0,4.1709,2169642.9222
Low,2207.7401,8.0,0.5462,0.6311,190.5426,-0.1814,0.1398,0,4.0164,319325.5561
Medium,2201.0268,8.0,0.5177,0.6534,66.2071,0.2347,0.0773,0,3.4741,325319.9561
Medium,1449.6498,6.0,0.5497,0.6234,143.5231,0.2379,0.5041,0,4.4174,344545.1786
High,1899.3293,4.0,0.6783,0.3925,55.6157,0.3407,0.2106,0,3.7594,491791.5801
Low,1589.8602,9.0,0.6659,0.5102,184.5061,0.3273,0.4411,0,4.5812,753599.2758
Medium,1904.4215,3.0,0.4954,0.8242,118.3983,0.2598,0.6405,1,3.5733,1014100.3184
Medium,1083.4071,5.0,0.8239,0.3635,238.9013,-0.2915,0.7143,1,3.4639,524582.5632
Low,1160.7306,5.0,0.6941,0.5651,114.5007,0.4058,0.8453,1,4.3955,1225784.4407
Low,2022.7236,7.0,0.9874,0.62,162.1974,-0.1748,0.5434,0,5.0,1595258.5602
Medium,1473.9181,6.0,0.9833,0.9415,101.2201,-0.0077,0.8497,0,5.0,2582676.0088
Low,1990.3713,8.0,0.8223,0.7953,173.4024,0.3009,0.6803,1,4.6696,2339337.0125
Medium,1440.0096,9.0,0.6677,0.5964,142.9414,0.2884,0.3621,1,5.0,408781.3257
Medium,2248.9963,5.0,0.7339,0.8757,123.755,-0.15,0.4155,0,4.2303,581655.6534
High,2002.0181,8.0,0.5007,0.5689,90.5342,0.2115,0.0504,0,4.3462,48938.3093
Medium,1748.3628,3.0,0.8314,0.8314,72.1927,0.3359,0.8636,1,4.256,2500938.3576
Low,2069.8086,9.0,0.7085,0.4762,73.8559,0.2648,0.1305,0,4.254,163168.0977
High,1319.3505,3.0,0.6583,0.841,248.809,0.2332,0.9228,0,3.2352,3032693.3361
High,1793.0133,8.0,0.8974,0.6191,132.0498,-0.0885,0.2224,0,3.7875,504097.941
Medium,1249.8286,5.0,0.7139,0.5257,50.384,0.2722,0.5831,1,4.3523,677111.4828
Low,2048.3615,9.0,0.4802,0.6474,239.6328,0.2442,0.2773,0,3.2231,622032.8374
Medium,2129.3713,3.0,0.6896,0.7216,53.976,0.4907,0.6319,1,4.6521,1466461.2312
Low,2209.2558,5.0,0.638,0.6058,133.2986,-0.0374,0.3299,1,4.3908,724541.7767
Low,2115.2072,9.0,0.547,0.7631,192.778,0.1324,0.2628,0,3.8251,538668.0617
Low,2265.5007,2.0,0.5978,0.5926,232.0052,0.19,0.7684,1,3.4882,2950193.8724
High,1400.7553,4.0,0.8793,0.7731,191.8644,0.1289,0.8791,1,4.3877,1318229.2042
Medium,2140.9525,2.0,0.4664,0.7463,142.2615,0.4262,0.6649,0,3.5923,1016247.8675
Medium,1908.7624,4.0,0.9061,0.6709,243.914,0.2027,0.8899,1,4.5268,2820593.2355
High,1687.0877,5.0,0.8924,0.6138,57.8246,0.1515,0.4464,0,4.5081,599148.7137
Medium,1741.2772,6.0,0.6707,0.7027,246.3915,0.0436,0.6573,1,4.0014,1816557.1411
Medium,1374.7979,4.0,0.5858,0.7625,219.0289,0.4382,0.9087,1,5.0,1230111.1787
Low,1256.5714,3.0,0.5225,0.95,234.8571,0.1882,0.9639,1,3.9405,875740.8172
Low,1472.8491,3.0,0.9622,0.8209,100.6997,-0.0366,0.9381,1,5.0,2782131.2631
Medium,972.7355,9.0,0.5397,0.8264,78.3492,0.254,0.4647,0,3.6856,787289.0766
Medium,1535.58,9.0,0.4936,0.95,181.9997,-0.1139,0.3286,0,4.1344,839961.8709
Medium,2241.6342,3.0,0.72,0.7574,152.656,0.3028,0.7279,1,5.0,1435679.2724
High,2015.2314,3.0,0.9404,0.7527,154.1104,0.2092,0.7968,1,5.0,1474494.5553
Medium,1833.0058,2.0,0.9001,0.7856,233.9992,0.291,0.9645,1,4.5476,4096267.3369
Medium,1452.0216,9.0,0.5148,0.5287,173.3961,0.0455,0.1755,0,3.961,238580.3629
Medium,1589.3933,7.0,0.6482,0.6134,111.9017,0.1989,0.3698,0,4.2959,419778.161
Low,1071.7875,8.0,0.412,0.6041,129.6132,0.3767,0.4935,1,3.5123,1218541.8328
Low,2008.5207,4.0,0.5027,0.7771,76.5657,-0.1048,0.3617,0,4.2076,614431.107
Medium,1263.6497,7.0,0.7333,0.6539,88.2705,0.0052,0.4718,1,5.0,1179026.1727
Low,1998.4116,2.0,0.7227,0.7007,78.5267,-0.1117,0.668,1,4.392,618147.1195
Medium,1847.8628,7.0,0.3933,0.8431,211.248,0.2606,0.4224,0,4.2768,1171606.2167
High,1795.5828,6.0,0.7227,0.8095,190.2698,0.2942,0.6225,0,4.8381,3231309.0218
Low,2091.1857,4.0,0.5421,0.6557,155.5387,-0.2618,0.3522,1,2.9992,787217.5646
Low,1245.6262,7.0,0.5,0.5795,124.4992,0.1804,0.4728,1,4.023,512351.3415
Low,2214.1736,7.0,0.6911,0.8503,183.0304,-0.0722,0.4588,0,3.8055,673295.3817
Low,1976.6641,5.0,0.6606,0.7961,211.7682,0.2765,0.8132,1,4.0806,3113762.6842
Medium,2258.9934,3.0,0.9442,0.4391,225.3654,-0.1572,0.6292,0,5.0,1229152.3078
Medium,1895.9022,2.0,0.6792,0.633,158.8562,0.0762,0.7304,1,3.9705,1409954.9745
High,2068.1727,9.0,0.5432,0.7048,213.1571,0.3505,0.1612,0,3.7382,228334.7629
Medium,2463.1196,4.0,0.8296,0.7968,151.7499,0.2062,0.6503,0,5.0,3374306.9479
Medium,1549.5558,4.0,0.6846,0.8165,144.4315,0.0045,0.7676,1,3.8263,2055559.7309
High,2191.5927,7.0,0.8062,0.7226,222.2209,-0.2289,0.2433,0,4.0351,639036.2162
Low,1965.8125,4.0,0.6102,0.7678,126.8884,0.0682,0.6341,1,4.7755,730803.8716
Low,1677.2639,5.0,0.8099,0.6896,128.7866,0.1821,0.7975,1,4.4559,2643184.5064
Low,2115.6425,7.0,0.438,0.5789,110.6774,0.6294,0.2659,0,3.1419,451469.1035
Medium,1566.3326,6.0,0.7676,0.6408,153.2216,0.3769,0.7292,0,4.6767,728612.7777
Medium,1738.1424,7.0,0.6546,0.6828,158.4252,0.0814,0.4014,0,3.9244,335165.3885
Low,961.73,2.0,0.4706,0.6748,181.4318,0.4129,0.9563,1,4.7548,768171.9937
Medium,1273.58,5.0,0.688,0.3972,135.67,0.1443,0.5576,1,3.5461,371453.969
Low,1989.1302,5.0,0.4333,0.6204,93.3496,0.2215,0.2919,1,4.2831,396867.4669
Medium,1497.1824,7.0,0.6558,0.6884,222.5016,0.4834,0.7707,1,5.0,1961510.5531
Medium,1557.3305,3.0,0.7544,0.6378,118.8542,-0.1234,0.6937,0,3.6968,881447.1673
Medium,1411.641,3.0,0.857,0.643,233.6657,0.0439,0.9309,1,4.2845,1917043.475
Low,1716.7296,8.0,0.7851,0.7532,91.2633,0.2077,0.5359,1,4.6821,597686.0685
Medium,2041.8185,7.0,0.5922,0.5182,161.4514,0.3548,0.2522,0,3.526,566699.5739
Medium,2199.3051,8.0,0.6381,0.4358,156.7864,0.1921,0.11,0,3.9767,607313.3339
Low,889.2895,4.0,0.4378,0.6278,214.9009,0.3686,0.919,1,3.7373,836766.8378
Low,1750.9976,9.0,0.6538,0.7946,77.6314,0.4534,0.4347,1,4.3309,784251.6729
High,1637.9533,4.0,0.7171,0.9331,231.0775,0.4721,0.918,0,4.7646,919333.2342
High,1963.1843,7.0,0.8949,0.7973,155.7542,0.2342,0.5264,0,4.7705,2160825.4161
Medium,1591.1369,3.0,0.6889,0.4598,166.6358,0.1958,0.7167,1,4.0379,994844.6056
Low,1432.0942,9.0,0.5503,0.6451,151.5231,0.4104,0.476,1,3.776,1142871.7847
High,1670.4292,4.0,0.7571,0.7185,57.169,0.1319,0.4852,1,4.0821,626726.2613
High,1757.3394,8.0,0.6477,0.7066,148.921,0.1666,0.2236,0,4.126,537479.1397
Medium,1743.4586,4.0,0.8057,0.7609,102.4464,0.1742,0.7584,1,4.4913,1656970.0031
Medium,1594.4765,8.0,0.6389,0.5424,118.1949,0.295,0.287,0,3.8108,360103.7895
Low,2119.1318,5.0,0.6853,0.6897,179.1712,0.0772,0.6009,0,4.3409,2313661.9428
Low,1987.0849,2.0,0.6408,0.743,149.0417,0.3422,0.8696,1,3.4029,1275853.5101
High,1446.1215,3.0,0.699,0.8039,68.5504,0.1258,0.6819,1,4.0047,1182186.1084
Medium,2082.4437,7.0,0.6667,0.5591,64.5352,0.0708,0.119,0,3.841,173567.1134
Low,2227.0187,3.0,0.773,0.6282,86.9459,-0.1049,0.5079,0,3.7219,1176976.4152
Low,1016.7863,4.0,0.4504,0.35,87.9861,0.3745,0.6205,1,4.3379,456922.217
Medium,1764.8934,6.0,0.6579,0.5868,171.0519,0.0398,0.4121,1,3.995,812252.3811
Low,1357.1541,4.0,0.6855,0.6013,85.3851,0.1232,0.746,1,4.1799,552660.078
High,2167.7297,3.0,0.9349,0.5271,225.4622,-0.245,0.5368,0,3.9711,1591052.9653
High,1387.4107,6.0,0.8355,0.7048,91.7424,0.1784,0.5723,0,4.4854,729523.4965
Medium,1877.2578,7.0,0.6352,0.6716,68.1352,-0.0193,0.1699,0,3.4177,211039.7835
Medium,1467.5811,7.0,0.9234,0.35,224.2735,0.2454,0.6884,1,4.1382,1202685.5385
Medium,1706.7045,9.0,0.7263,0.7123,108.7702,0.011,0.2334,0,3.7713,398415.0611
Medium,2393.227,2.0,0.8199,0.5408,134.6591,0.1614,0.5999,0,4.1139,1092437.9497
Medium,1601.2689,5.0,0.8508,0.7529,240.8463,-0.2659,0.8048,1,3.0702,1532846.0159
Low,2363.9347,3.0,0.9361,0.4877,237.9295,0.3402,0.8719,1,3.902,1643094.2857
Medium,2381.763,9.0,0.7172,0.6845,192.2685,0.0278,0.1517,1,4.9307,1186901.1277
Low,2342.8939,6.0,0.9055,0.6375,63.7189,-0.0846,0.3068,0,4.8019,964327.0768
Medium,1101.7786,2.0,0.5547,0.7255,168.0747,0.5942,0.9566,1,4.9377,1292826.7316
Low,2233.4634,7.0,0.8583,0.6987,246.8265,0.0999,0.6775,1,5.0,3268739.1894
Low,1042.2217,2.0,0.7588,0.6417,238.4363,0.0462,0.975,1,4.5581,523177.7981
Low,1550.6162,4.0,0.7457,0.4496,71.0945,-0.2101,0.4559,0,3.6,190284.8247
Medium,2147.9262,7.0,0.6126,0.4584,128.7975,0.2373,0.1395,0,3.3335,247918.5486
Low,2078.1857,6.0,0.908,0.5924,112.7918,0.2964,0.6308,1,5.0,670742.541
High,1778.4936,8.0,0.7896,0.6788,75.8159,0.1684,0.198,1,4.4133,272991.3598
Medium,1543.7927,6.0,0.7472,0.5888,188.2649,0.41,0.7541,1,5.0,1447575.0588
Low,2109.046,8.0,0.6819,0.7738,104.4958,0.1799,0.3228,0,4.1497,959477.2532
Medium,1780.8694,6.0,0.4014,0.6381,118.6283,0.3284,0.2639,1,4.7696,271888.0836
Low,1732.2682,2.0,0.8606,0.5352,67.9814,-0.036,0.765,0,4.1317,1337752.0559
High,2117.3137,2.0,0.517,0.6383,149.0955,-0.0043,0.3224,0,4.4676,713839.2259
Medium,1405.9795,8.0,0.8838,0.7139,81.4754,0.2938,0.6242,0,5.0,898848.45
High,1303.5019,2.0,0.8571,0.7287,135.986,-0.1093,0.8534,1,3.899,886939.6981
Low,1924.1576,5.0,0.7713,0.95,78.5251,0.12,0.7556,1,4.4257,2353753.2932
Medium,2229.9593,2.0,0.5152,0.5797,239.8161,-0.0653,0.5174,0,3.175,1385223.1228
Medium,1177.7997,4.0,0.492,0.669,78.8515,0.2514,0.6459,0,3.3143,1469963.3271
High,1334.6722,6.0,0.7296,0.7439,153.8555,-0.1071,0.5165,1,4.5578,507384.7859
Medium,1178.9071,3.0,0.7326,0.6765,89.199,0.6341,0.9307,1,4.427,1371122.2332
Medium,2012.431,5.0,0.4253,0.6049,65.196,0.2936,0.1779,0,3.7883,291568.6913
Low,1284.5464,9.0,0.7036,0.4476,90.2594,0.3242,0.3732,0,4.3086,371069.4014
Low,1515.9891,2.0,0.4485,0.6034,60.9,0.207,0.6524,1,2.8247,1086251.8341
Medium,2305.0175,2.0,0.5897,0.5189,77.7401,-0.2206,0.1876,0,4.299,327683.0639
Medium,994.2384,4.0,0.7288,0.421,148.2033,0.053,0.7628,1,3.7239,237342.6902
Low,1589.6132,8.0,0.4444,0.5606,179.7113,0.1172,0.2781,0,3.9129,123978.0754
High,1579.8178,5.0,0.5272,0.5229,67.3806,0.2802,0.2095,0,4.1274,493900.7746
High,2065.2317,7.0,0.6248,0.7676,137.7627,-0.1558,0.1239,1,4.7446,450224.0899
Low,1496.5151,2.0,0.7462,0.7702,165.6682,0.3191,0.9617,1,4.451,3630815.6004
Medium,1524.168,7.0,0.667,0.5444,96.6109,0.4859,0.4583,0,3.1146,632411.4121
Low,1068.945,2.0,0.4992,0.641,124.0436,0.3038,0.9078,1,3.9611,530801.1576
Medium,2015.7972,7.0,0.696,0.4013,64.2951,-0.3577,0.0458,0,3.7094,63727.7384
Low,2115.7281,3.0,0.7534,0.6058,93.8061,0.4332,0.7487,0,3.8496,1441974.528
Medium,1066.1532,8.0,0.5642,0.7398,142.8838,-0.0072,0.4744,0,4.0763,329186.7551
Medium,1524.2852,4.0,0.7046,0.8037,247.098,0.0977,0.9012,1,4.1839,3678851.8924
High,2396.5338,3.0,0.9486,0.573,248.2567,0.4033,0.7873,1,3.9547,6606598.9868
Low,840.4113,4.0,0.5115,0.8378,244.9447,0.0126,0.952,1,4.3864,1260312.4052
High,1458.0807,2.0,0.812,0.4526,134.1942,-0.2207,0.5771,1,3.6504,839877.3497
Low,1924.9139,3.0,0.967,0.4929,66.0554,0.1898,0.7646,0,4.2419,689257.5745
Low,1335.8475,6.0,0.5443,0.7864,114.3911,0.5211,0.8034,1,4.0694,2056211.4659
Medium,1237.4413,4.0,0.5294,0.9307,97.3052,0.1401,0.7965,1,4.8801,932459.7265
Medium,1715.2876,4.0,0.8529,0.754,52.8112,0.1858,0.728,1,4.5668,884573.8591
High,1116.7852,8.0,0.5432,0.6739,68.9515,0.1866,0.2201,0,4.0247,258140.8678
High,1617.6825,2.0,0.5474,0.3507,140.1852,0.1713,0.3891,0,3.3565,492091.052
Low,1910.7396,5.0,0.6089,0.3766,117.5928,0.0292,0.2643,0,3.8674,519599.4102
High,1898.3241,3.0,0.8809,0.6994,85.8904,0.1435,0.6333,1,5.0,556877.7381
Low,999.4996,5.0,0.5575,0.6263,192.5039,0.18,0.8616,1,4.2688,1606388.1209
Medium,2012.9744,4.0,0.462,0.5141,121.066,-0.2078,0.1406,1,3.7927,262261.0035
Low,1169.0422,2.0,0.6387,0.6898,219.5217,0.2738,0.969,1,4.5077,2306787.6303
High,2191.6705,2.0,0.9152,0.6973,97.9545,0.2188,0.6825,0,3.9435,1251110.877
Low,1509.0304,8.0,0.7539,0.8217,157.1403,0.0049,0.668,1,3.981,1003532.4216
Low,2085.0552,2.0,0.7103,0.7005,86.6437,-0.1845,0.6097,1,3.9959,654464.4214
Medium,1401.4135,8.0,0.9292,0.8643,148.5648,0.0677,0.7735,0,4.4262,1583380.0474
High,1175.37,9.0,0.6226,0.6812,80.3408,-0.2643,0.1072,0,3.3586,74181.7447
High,1719.7653,5.0,0.7778,0.6627,82.1541,0.2256,0.4461,1,3.435,540875.2202
Medium,904.5929,4.0,0.5439,0.8396,171.8325,0.399,0.9371,1,3.631,927738.4605
High,1305.9575,8.0,0.7392,0.5332,102.4934,0.0686,0.224,0,3.9364,286220.9691
High,2121.0821,9.0,0.8963,0.95,84.3011,0.2443,0.2913,1,4.8999,253079.1463
Medium,2145.3619,2.0,0.6826,0.7363,235.0239,-0.0978,0.7653,1,3.7467,1844406.6079
Low,1083.0303,9.0,0.7142,0.7371,58.5576,-0.0399,0.4539,1,4.2648,576984.3395
High,2125.9112,9.0,0.5534,0.7588,162.4645,-0.0465,0.0667,0,3.7717,128033.137
Medium,1992.8681,3.0,0.5348,0.95,159.1045,0.0582,0.7109,1,4.7985,1361255.7856
Medium,2090.2317,2.0,0.5256,0.7989,99.8712,0.0045,0.5144,1,3.9395,1064637.4092
Low,2100.4856,7.0,0.9211,0.4392,140.1016,0.1284,0.413,1,4.6198,833888.4108
Medium,1871.0991,2.0,0.6196,0.8905,67.4598,0.1337,0.7327,1,4.4562,726142.9813
Low,1703.0996,6.0,0.6898,0.6289,193.5328,0.3417,0.759,0,3.5445,1457604.7269
High,1957.6024,2.0,0.8009,0.6961,94.1177,-0.0141,0.5684,1,4.282,1577399.9131
Low,2222.3186,7.0,0.6206,0.4881,88.4837,0.4898,0.228,0,3.4145,281945.326
Low,1051.8801,3.0,0.6222,0.7589,112.6608,-0.1504,0.8659,1,3.9928,731934.2141
High,1381.5611,2.0,0.6558,0.5823,229.5716,0.3686,0.8848,1,3.773,809499.307
Low,1058.1599,2.0,0.6942,0.695,208.4969,-0.0096,0.9623,1,4.3463,1839025.1212
Low,2367.5502,3.0,0.7886,0.6374,238.4316,0.0911,0.7999,1,3.6163,2279169.0131
Medium,1480.2153,6.0,0.5215,0.95,179.7405,0.2394,0.7543,1,4.3323,847626.7715
High,2086.4558,2.0,0.9505,0.95,181.9214,0.4547,0.9466,1,5.0,2302219.995
Low,2192.5354,8.0,0.7474,0.687,145.5262,-0.1079,0.2483,0,4.6346,326364.3694
Low,2306.9618,6.0,0.5924,0.6896,230.1321,-0.0784,0.3861,1,3.5661,690667.8036
High,1343.812,4.0,0.9386,0.624,151.6646,0.1823,0.8367,0,4.5694,609199.4897
High,2203.0283,9.0,0.8559,0.8459,120.657,0.0913,0.1856,0,4.7514,245516.0048
Medium,2359.964,7.0,0.9041,0.6307,177.4346,0.0181,0.35,0,5.0,1684615.0947
Low,1212.0191,7.0,0.9847,0.6168,158.6818,-0.2911,0.7704,1,3.6421,713091.6068
Low,2133.0073,3.0,0.8481,0.8268,74.6799,0.4003,0.8658,1,4.326,1957839.3195
Low,1485.4083,7.0,0.7302,0.5993,128.1524,0.2496,0.634,1,5.0,638951.4455
Low,1961.002,6.0,0.8155,0.6743,112.3518,0.3763,0.6847,1,4.3877,1796170.2135
Medium,1801.5332,9.0,0.8667,0.4428,218.5199,0.4533,0.495,0,3.4097,677995.1792
Low,1140.5148,5.0,0.4066,0.7856,125.3897,0.0776,0.7002,0,3.5572,798033.7425
Medium,969.3324,7.0,0.4174,0.95,213.4895,0.2799,0.8243,0,2.7928,977253.8484
Medium,1009.741,4.0,0.5205,0.7882,138.0355,0.0976,0.8174,0,4.167,2381667.2989
Medium,1164.0817,2.0,0.7898,0.8993,199.9466,0.1773,0.9792,1,5.0,1758495.5754
Low,1816.0742,3.0,0.615,0.5531,76.9211,0.4818,0.7052,1,3.6451,848355.7831
High,1283.8712,8.0,0.4254,0.7154,234.0054,0.1372,0.3373,1,3.5859,733060.5259
Medium,1213.9251,7.0,0.6158,0.5385,145.6314,0.1916,0.4913,0,4.3966,1608930.2289
Medium,1956.3972,4.0,0.7124,0.6458,101.6999,0.067,0.4813,0,3.2872,418179.4241
Low,2011.9302,7.0,0.8096,0.7958,98.0564,-0.0214,0.4679,0,3.8025,590136.1457
Low,1636.6825,2.0,0.5557,0.6953,102.7504,0.395,0.8523,1,4.0254,1162648.2581
High,2321.2809,2.0,0.7388,0.4681,122.9781,-0.1359,0.2291,1,3.5006,430151.0137
Medium,1520.7494,6.0,0.717,0.4827,192.7864,-0.1526,0.4383,1,3.7043,656705.6307
Low,2309.9758,6.0,0.9409,0.4728,238.971,0.4223,0.751,1,3.8654,1211397.8504
Medium,1074.3931,9.0,0.7134,0.7537,183.1384,-0.1577,0.5381,1,4.2914,1219057.7018
Medium,2110.5487,8.0,0.8449,0.95,158.8861,0.0065,0.5049,0,4.6545,596995.1343
High,2470.7034,4.0,0.8517,0.8844,139.271,0.1462,0.537,1,5.0,1231055.5967
Low,2000.6356,8.0,0.438,0.3956,214.8107,-0.1098,0.0935,0,3.4117,358817.2513
High,1687.9448,5.0,0.5454,0.8932,219.0818,0.3632,0.7248,0,4.459,1457773.1578
Low,1965.9903,8.0,0.8716,0.8205,108.3145,0.2301,0.6056,1,4.001,720764.8915
Medium,1480.5817,3.0,0.726,0.4482,239.7306,-0.0097,0.7997,1,4.1421,811556.8263
Medium,1924.6823,2.0,0.6908,0.6345,128.628,0.3445,0.7777,1,4.0903,1335607.0928
Low,1945.3324,2.0,0.5212,0.8443,209.2155,0.2468,0.8928,1,4.1119,1462740.7776
Low,2514.2066,9.0,0.8974,0.7626,242.3972,0.3023,0.5676,1,5.0,1978508.42
Medium,1721.4131,2.0,0.7905,0.4836,190.028,0.211,0.8461,1,3.7988,882045.2036
High,926.8947,9.0,0.5156,0.7716,82.1486,-0.3507,0.1214,0,4.4627,142319.1904
Medium,1668.0329,7.0,0.4786,0.3594,166.6413,-0.1083,0.1024,0,4.0547,194495.2162
High,1243.332,3.0,0.8778,0.6466,73.6366,0.0447,0.7595,1,4.796,881424.683
High,1166.5523,8.0,0.4801,0.8507,207.0393,0.1699,0.4924,1,3.6067,1295021.6767
Medium,1469.8497,3.0,0.7637,0.6828,105.9817,-0.1148,0.7395,1,3.1052,834618.8914
High,2066.6888,3.0,0.7965,0.6052,188.3477,0.3822,0.7096,0,4.9488,1199274.5896
Low,1341.9571,6.0,0.8869,0.8134,231.1078,0.1639,0.9502,1,4.7617,1232616.369
Low,1259.7129,4.0,0.7995,0.8262,86.021,-0.2265,0.8447,1,4.0072,865372.456
High,1003.2042,4.0,0.67,0.8765,128.1787,0.5721,0.9236,1,5.0,879188.8196
High,2290.1849,3.0,0.8274,0.8112,178.7766,0.06,0.649,0,4.1226,1135847.419
Low,1976.7735,6.0,0.7404,0.8422,133.5121,0.1634,0.6814,1,4.2926,542732.6358
Medium,1086.326,2.0,0.8099,0.7899,84.789,0.3335,0.9582,1,4.9013,714835.8737
Medium,1077.1635,3.0,0.8215,0.7198,55.7853,0.1243,0.885,1,3.9049,912293.8325
High,1551.7932,6.0,0.381,0.6934,130.913,0.4424,0.2952,1,3.8237,484644.2087
Medium,1372.4157,5.0,0.7153,0.6444,179.1926,0.2047,0.7942,1,4.7805,2078803.8206
Medium,1881.4874,7.0,0.8073,0.4981,164.2229,0.0051,0.3262,0,4.2037,1591114.6415
Medium,1592.4064,3.0,0.7189,0.5367,81.092,0.2589,0.6757,0,4.7578,1324943.6085
Medium,2295.6829,7.0,0.725,0.6377,139.688,0.3148,0.2909,0,4.8666,1264415.2832
Medium,1387.7332,8.0,0.7273,0.7162,123.5247,-0.1543,0.3753,0,4.1651,718763.6958
High,1848.8754,5.0,0.5741,0.8961,104.5663,0.5247,0.5626,0,3.3206,2091909.0392
Medium,1070.8915,4.0,0.7547,0.6737,195.125,0.1382,0.9171,1,3.7496,2597827.1162
Low,2288.6606,6.0,0.6419,0.8305,111.6208,0.1664,0.429,0,4.7136,1428963.5034
Low,2173.1983,6.0,0.4079,0.8419,157.4882,-0.3838,0.1744,0,2.9091,551562.7604
Medium,2104.373,2.0,0.837,0.6453,233.7215,0.0569,0.858,1,4.1949,2046586.8276
High,1700.7961,6.0,0.819,0.7692,157.3159,0.2494,0.6336,0,4.7534,1120094.7311
Low,1288.0219,3.0,0.7232,0.6435,172.7876,0.2323,0.9339,1,4.9965,1132566.8222
Low,2110.9919,6.0,0.6845,0.8783,64.576,0.06,0.4372,1,4.1189,1019428.9126
Medium,2041.3146,9.0,0.7454,0.7754,85.4487,-0.1339,0.13,0,3.9539,169879.82
Low,1285.9466,6.0,0.7156,0.5014,70.0893,0.1728,0.5715,0,4.0137,572150.2039
High,1502.6034,8.0,0.543,0.7042,202.1978,-0.1802,0.1907,0,4.0097,115872.7743
Low,1590.7732,4.0,0.6539,0.9272,216.3483,0.3763,0.9531,1,4.504,3954840.737
Low,2028.3237,9.0,0.5256,0.6528,87.1046,-0.2165,0.0615,0,4.2473,100438.6716
High,1910.8269,8.0,0.6597,0.7472,93.6351,0.3565,0.1979,0,3.9538,420205.5906
Low,1834.7902,9.0,0.632,0.7619,114.3183,0.028,0.257,1,4.2184,867894.9924
Low,2025.7004,7.0,0.913,0.5245,167.6244,0.3686,0.6534,1,4.7121,1641892.7958
Low,1326.4685,7.0,0.6708,0.7566,173.7374,-0.0582,0.7006,1,3.97,1955464.3518
Low,1317.5059,6.0,0.4325,0.4709,186.664,-0.1513,0.3595,1,3.7961,305968.1328
Low,1058.1057,9.0,0.7535,0.5862,230.1334,0.1578,0.7671,0,4.2748,2947215.5425
Low,2186.4282,8.0,0.858,0.8414,108.713,0.293,0.5517,1,5.0,1852574.7291
Low,1668.4279,5.0,0.8402,0.7335,181.093,0.3541,0.9113,1,4.7246,1864632.7655
Low,1523.3083,2.0,0.6038,0.6343,161.3848,0.043,0.8497,1,4.1478,2626612.9088
